Algorithm,Seed,BestDistance,RuntimeSeconds,FitnessEvaluations,NumberVehicles,BestRoutes
GA,13,1433.0529664365306,4.648172799963504,50000,8,"[[0, 20, 23, 41, 45, 2, 44, 0], [0, 39, 22, 32, 35, 6, 18, 8, 24, 0], [0, 46, 12, 15, 38, 36, 29, 1, 11, 5, 0], [0, 27, 9, 16, 21, 0], [0, 3, 31, 28, 17, 48, 50, 0], [0, 49, 25, 47, 33, 42, 19, 13, 0], [0, 34, 43, 40, 7, 4, 26, 0], [0, 37, 30, 14, 10, 0]]"
GA,14,1427.2488864308484,4.577390900114551,50000,8,"[[0, 35, 32, 50, 17, 22, 3, 48, 0], [0, 44, 13, 38, 15, 21, 6, 12, 0], [0, 39, 28, 46, 24, 10, 34, 26, 31, 0], [0, 16, 19, 7, 4, 18, 8, 0], [0, 41, 2, 33, 47, 25, 49, 0], [0, 30, 43, 40, 20, 37, 0], [0, 9, 45, 23, 14, 0], [0, 27, 5, 42, 11, 1, 36, 29, 0]]"
GA,15,1362.3241020427338,4.402368400013074,50000,8,"[[0, 13, 2, 23, 41, 37, 0], [0, 4, 43, 14, 40, 20, 7, 0], [0, 32, 6, 50, 22, 28, 31, 30, 0], [0, 24, 17, 3, 39, 34, 18, 10, 0], [0, 38, 35, 15, 1, 36, 11, 42, 29, 44, 0], [0, 16, 33, 5, 25, 27, 0], [0, 8, 26, 12, 21, 48, 46, 0], [0, 9, 45, 47, 19, 49, 0]]"
GA,16,1461.5064239890783,4.559737500036135,50000,8,"[[0, 21, 3, 22, 31, 8, 34, 24, 0], [0, 28, 17, 39, 10, 20, 7, 40, 0], [0, 12, 46, 6, 35, 1, 36, 19, 47, 0], [0, 26, 18, 4, 43, 14, 0], [0, 27, 5, 13, 38, 11, 29, 44, 0], [0, 48, 32, 50, 15, 42, 25, 0], [0, 16, 33, 23, 41, 30, 0], [0, 37, 45, 2, 49, 9, 0]]"
GA,17,1402.4723079358423,4.703225899953395,50000,8,"[[0, 3, 22, 28, 48, 39, 26, 34, 0], [0, 13, 21, 8, 31, 17, 12, 46, 0], [0, 9, 2, 33, 5, 44, 24, 0], [0, 37, 41, 20, 43, 40, 30, 0], [0, 27, 18, 14, 16, 0], [0, 45, 25, 49, 42, 11, 29, 0], [0, 50, 32, 6, 35, 15, 36, 38, 1, 0], [0, 19, 47, 23, 7, 4, 10, 0]]"
GA,18,1359.1531355828834,4.609850300010294,50000,8,"[[0, 16, 23, 45, 25, 15, 35, 0], [0, 10, 7, 40, 14, 43, 4, 0], [0, 41, 33, 47, 19, 42, 11, 29, 6, 0], [0, 24, 34, 18, 30, 20, 37, 0], [0, 46, 50, 3, 32, 38, 21, 44, 0], [0, 26, 12, 13, 9, 27, 0], [0, 39, 31, 22, 28, 48, 17, 8, 0], [0, 1, 36, 5, 49, 2, 0]]"
GA,19,1323.1427712152527,4.420068999985233,50000,8,"[[0, 24, 39, 31, 28, 17, 32, 46, 0], [0, 2, 25, 5, 49, 9, 0], [0, 27, 16, 20, 7, 37, 0], [0, 45, 23, 19, 47, 33, 41, 0], [0, 44, 50, 3, 48, 22, 8, 0], [0, 18, 34, 43, 4, 14, 40, 0], [0, 21, 11, 13, 42, 29, 1, 36, 0], [0, 6, 35, 38, 15, 12, 26, 10, 30, 0]]"
GA,20,1324.6718735407298,4.647041100077331,50000,8,"[[0, 20, 33, 47, 19, 25, 9, 0], [0, 21, 29, 11, 35, 6, 3, 50, 32, 0], [0, 31, 28, 48, 17, 22, 39, 8, 0], [0, 34, 10, 45, 23, 41, 0], [0, 37, 30, 24, 46, 12, 44, 0], [0, 27, 7, 16, 2, 49, 0], [0, 26, 18, 4, 43, 14, 40, 0], [0, 42, 5, 1, 38, 36, 15, 13, 0]]"
GA,21,1345.549153129617,4.6632910000626,50000,8,"[[0, 10, 34, 39, 22, 28, 3, 46, 0], [0, 27, 16, 23, 9, 13, 0], [0, 21, 35, 6, 15, 29, 42, 11, 5, 0], [0, 24, 8, 31, 32, 17, 48, 26, 0], [0, 50, 12, 44, 38, 36, 1, 0], [0, 25, 19, 47, 45, 2, 49, 0], [0, 20, 41, 33, 40, 7, 30, 0], [0, 37, 43, 14, 4, 18, 0]]"
GA,22,1455.460068321503,4.640013399999589,50000,8,"[[0, 3, 22, 39, 30, 14, 40, 10, 0], [0, 25, 33, 47, 19, 42, 5, 11, 0], [0, 26, 18, 7, 41, 9, 49, 0], [0, 13, 29, 15, 38, 12, 50, 46, 0], [0, 16, 20, 23, 45, 37, 0], [0, 27, 34, 4, 43, 2, 0], [0, 36, 32, 48, 17, 28, 31, 8, 0], [0, 6, 35, 1, 21, 44, 24, 0]]"
GA,23,1451.6897278580016,4.519769300008193,50000,8,"[[0, 38, 11, 9, 33, 45, 0], [0, 21, 3, 32, 17, 50, 12, 0], [0, 27, 29, 16, 37, 30, 0], [0, 44, 35, 6, 15, 1, 36, 13, 25, 0], [0, 7, 43, 14, 40, 41, 23, 0], [0, 34, 39, 8, 31, 28, 48, 22, 0], [0, 42, 5, 19, 47, 2, 20, 49, 0], [0, 24, 10, 4, 18, 26, 46, 0]]"
