Seed,Evaluation,BestDistance
0,200,2526.7807276527524
0,300,2427.394810932048
0,400,2408.1267450902183
0,500,2408.1267450902183
0,600,2408.1267450902183
0,700,2408.1267450902183
0,800,2299.305588213233
0,900,2299.305588213233
0,1000,2299.305588213233
0,1100,2299.305588213233
0,1200,2299.305588213233
0,1300,2299.305588213233
0,1400,2299.305588213233
0,1500,2299.305588213233
0,1600,2299.305588213233
0,1700,2299.305588213233
0,1800,2299.305588213233
0,1900,2299.305588213233
0,2000,2299.305588213233
0,2100,2299.305588213233
0,2200,2299.305588213233
0,2300,2299.305588213233
0,2400,2299.305588213233
0,2500,2299.305588213233
0,2600,2299.305588213233
0,2700,2299.305588213233
0,2800,2299.305588213233
0,2900,2202.0057486944766
0,3000,2202.0057486944766
0,3100,2202.0057486944766
0,3200,2202.0057486944766
0,3300,2202.0057486944766
0,3400,2202.0057486944766
0,3500,2202.0057486944766
0,3600,2202.0057486944766
0,3700,2202.0057486944766
0,3800,2202.0057486944766
0,3900,2202.0057486944766
0,4000,2202.0057486944766
0,4100,2202.0057486944766
0,4200,2202.0057486944766
0,4300,2202.0057486944766
0,4400,2202.0057486944766
0,4500,2202.0057486944766
0,4600,2202.0057486944766
0,4700,2202.0057486944766
0,4800,2202.0057486944766
0,4900,2202.0057486944766
0,5000,2202.0057486944766
0,5100,2202.0057486944766
0,5200,2202.0057486944766
0,5300,2202.0057486944766
0,5400,2181.7773033064686
0,5500,2181.7773033064686
0,5600,2181.7773033064686
0,5700,2181.7773033064686
0,5800,2181.7773033064686
0,5900,2181.7773033064686
0,6000,2181.7773033064686
0,6100,2181.7773033064686
0,6200,2181.7773033064686
0,6300,2181.7773033064686
0,6400,2181.7773033064686
0,6500,2181.7773033064686
0,6600,2181.7773033064686
0,6700,2181.7773033064686
0,6800,2181.7773033064686
0,6900,2181.7773033064686
0,7000,2181.7773033064686
0,7100,2181.7773033064686
0,7200,2181.7773033064686
0,7300,2179.3428816500777
0,7400,2176.192758432561
0,7500,2149.4975447939164
0,7600,2149.4975447939164
0,7700,2149.4975447939164
0,7800,2149.4975447939164
0,7900,2149.4975447939164
0,8000,2149.4975447939164
0,8100,2149.4975447939164
0,8200,2149.4975447939164
0,8300,2149.4975447939164
0,8400,2149.4975447939164
0,8500,2149.4975447939164
0,8600,2149.4975447939164
0,8700,2149.4975447939164
0,8800,2149.4975447939164
0,8900,2149.4975447939164
0,9000,2149.4975447939164
0,9100,2149.4975447939164
0,9200,2149.4975447939164
0,9300,2149.4975447939164
0,9400,2149.4975447939164
0,9500,2149.4975447939164
0,9600,2149.4975447939164
0,9700,2149.4975447939164
0,9800,2149.4975447939164
0,9900,2149.4975447939164
0,10000,2149.4975447939164
0,10100,2149.4975447939164
0,10200,2149.4975447939164
0,10300,2084.3675781206002
0,10400,2084.3675781206002
0,10500,2084.3675781206002
0,10600,2084.3675781206002
0,10700,2084.3675781206002
0,10800,2084.3675781206002
0,10900,2084.3675781206002
0,11000,2082.0419159529893
0,11100,2082.0419159529893
0,11200,2082.0419159529893
0,11300,2082.0419159529893
0,11400,2082.0419159529893
0,11500,2082.0419159529893
0,11600,2082.0419159529893
0,11700,2082.0419159529893
0,11800,2082.0419159529893
0,11900,2082.0419159529893
0,12000,2082.0419159529893
0,12100,2082.0419159529893
0,12200,2082.0419159529893
0,12300,2082.0419159529893
0,12400,2082.0419159529893
0,12500,2082.0419159529893
0,12600,2082.0419159529893
0,12700,2082.0419159529893
0,12800,2082.0419159529893
0,12900,2082.0419159529893
0,13000,2082.0419159529893
0,13100,2082.0419159529893
0,13200,2082.0419159529893
0,13300,2082.0419159529893
0,13400,2082.0419159529893
0,13500,2082.0419159529893
0,13600,2082.0419159529893
0,13700,2082.0419159529893
0,13800,2082.0419159529893
0,13900,2076.111348103038
0,14000,2075.0509973333656
0,14100,2075.0509973333656
0,14200,2075.0509973333656
0,14300,2075.0509973333656
0,14400,2075.0509973333656
0,14500,2075.0509973333656
0,14600,2075.0509973333656
0,14700,2024.9010146962469
0,14800,2024.9010146962469
0,14900,1998.3373717546363
0,15000,1998.3373717546363
0,15100,1998.3373717546363
0,15200,1982.2520028044157
0,15300,1982.2520028044157
0,15400,1982.2520028044157
0,15500,1982.2520028044157
0,15600,1982.2520028044157
0,15700,1982.2520028044157
0,15800,1925.2167130366129
0,15900,1925.2167130366129
0,16000,1925.2167130366129
0,16100,1891.4613821563394
0,16200,1891.4613821563394
0,16300,1891.4613821563394
0,16400,1891.4613821563394
0,16500,1891.4613821563394
0,16600,1891.4613821563394
0,16700,1891.4613821563394
0,16800,1891.4613821563394
0,16900,1891.4613821563394
0,17000,1891.4613821563394
0,17100,1891.4613821563394
0,17200,1891.4613821563394
0,17300,1891.4613821563394
0,17400,1891.4613821563394
0,17500,1891.4613821563394
0,17600,1891.4613821563394
0,17700,1891.4613821563394
0,17800,1888.4876003247555
0,17900,1888.4876003247555
0,18000,1877.2413955233274
0,18100,1870.818198262943
0,18200,1870.818198262943
0,18300,1870.818198262943
0,18400,1850.8188834538887
0,18500,1836.9161431493299
0,18600,1830.4929458889455
0,18700,1830.4929458889455
0,18800,1830.4929458889455
0,18900,1830.4929458889455
0,19000,1830.4929458889455
0,19100,1830.4929458889455
0,19200,1830.4929458889455
0,19300,1830.4929458889455
0,19400,1830.4929458889455
0,19500,1830.4929458889455
0,19600,1830.4929458889455
0,19700,1830.4929458889455
0,19800,1830.4929458889455
0,19900,1830.4929458889455
0,20000,1830.4929458889455
0,20100,1830.4929458889455
0,20200,1830.4929458889455
0,20300,1830.4929458889455
0,20400,1815.211752630687
0,20500,1815.211752630687
0,20600,1815.211752630687
0,20700,1815.211752630687
0,20800,1815.211752630687
0,20900,1815.211752630687
0,21000,1793.2889788428906
0,21100,1793.2889788428906
0,21200,1788.5708572920948
0,21300,1788.5708572920948
0,21400,1788.5708572920948
0,21500,1788.5708572920948
0,21600,1788.5708572920948
0,21700,1788.5708572920948
0,21800,1788.5708572920948
0,21900,1788.5708572920948
0,22000,1788.5708572920948
0,22100,1788.5708572920948
0,22200,1788.5708572920948
0,22300,1788.5708572920948
0,22400,1788.5708572920948
0,22500,1788.5708572920948
0,22600,1788.5708572920948
0,22700,1788.5708572920948
0,22800,1784.4882742037526
0,22900,1784.4882742037526
0,23000,1784.4882742037526
0,23100,1784.4882742037526
0,23200,1784.4882742037526
0,23300,1784.4882742037526
0,23400,1784.4882742037526
0,23500,1784.4882742037526
0,23600,1784.4882742037526
0,23700,1784.4882742037526
0,23800,1784.4882742037526
0,23900,1784.4882742037526
0,24000,1784.4882742037526
0,24100,1784.4882742037526
0,24200,1784.4882742037526
0,24300,1784.4882742037526
0,24400,1784.4882742037526
0,24500,1784.4882742037526
0,24600,1784.4882742037526
0,24700,1784.4882742037526
0,24800,1784.4882742037526
0,24900,1784.4882742037526
0,25000,1784.4882742037526
0,25100,1784.4882742037526
0,25200,1784.4882742037526
0,25300,1784.4882742037526
0,25400,1784.4882742037526
0,25500,1784.4882742037526
0,25600,1784.4882742037526
0,25700,1784.4882742037526
0,25800,1784.4882742037526
0,25900,1784.4882742037526
0,26000,1784.4882742037526
0,26100,1784.4882742037526
0,26200,1784.4882742037526
0,26300,1784.4882742037526
0,26400,1784.4882742037526
0,26500,1784.4882742037526
0,26600,1784.4882742037526
0,26700,1784.4882742037526
0,26800,1784.4882742037526
0,26900,1784.4882742037526
0,27000,1784.4882742037526
0,27100,1784.4882742037526
0,27200,1784.4882742037526
0,27300,1784.4882742037526
0,27400,1784.4882742037526
0,27500,1784.4882742037526
0,27600,1784.4882742037526
0,27700,1784.4882742037526
0,27800,1784.4882742037526
0,27900,1784.4882742037526
0,28000,1784.4882742037526
0,28100,1784.4882742037526
0,28200,1784.4882742037526
0,28300,1784.4882742037526
0,28400,1784.4882742037526
0,28500,1784.4882742037526
0,28600,1784.4882742037526
0,28700,1784.4882742037526
