Seed,Evaluation,BestDistance
0,200,2427.9924940438245
0,300,2427.9924940438245
0,400,2349.311205883822
0,500,2243.5860382151277
0,600,2194.014057798197
0,700,2194.014057798197
0,800,2169.089970636011
0,900,2169.089970636011
0,1000,2127.5238030452683
0,1100,2127.5238030452683
0,1200,2127.5238030452683
0,1300,2127.5238030452683
0,1400,2124.459619551091
0,1500,2124.459619551091
0,1600,2082.0688750205345
0,1700,2082.0688750205345
0,1800,2021.0593884952618
0,1900,2020.5585106567842
0,2000,2016.245178089142
0,2100,1984.484158018474
0,2200,1984.484158018474
0,2300,1984.484158018474
0,2400,1984.484158018474
0,2500,1984.484158018474
0,2600,1984.484158018474
0,2700,1970.8343489337844
0,2800,1915.5675131941612
0,2900,1863.7716409690638
0,3000,1811.9886289709418
0,3100,1811.9886289709418
0,3200,1811.9886289709418
0,3300,1811.9886289709418
0,3400,1811.9886289709418
0,3500,1799.5128577146736
0,3600,1725.9198859778267
0,3700,1725.9198859778267
0,3800,1725.9198859778267
0,3900,1725.9198859778267
0,4000,1725.9198859778267
0,4100,1725.9198859778267
0,4200,1712.7323710842622
0,4300,1712.7323710842622
0,4400,1691.0806085351358
0,4500,1691.0806085351358
0,4600,1691.0806085351358
0,4700,1691.0806085351358
0,4800,1691.0806085351358
0,4900,1659.2957089044833
0,5000,1659.2957089044833
0,5100,1659.2957089044833
0,5200,1659.2957089044833
0,5300,1659.2957089044833
0,5400,1598.8693957673029
0,5500,1598.8693957673029
0,5600,1598.8693957673029
0,5700,1598.8693957673029
0,5800,1598.8693957673029
0,5900,1598.8693957673029
0,6000,1598.8693957673029
0,6100,1598.8693957673029
0,6200,1598.8693957673029
0,6300,1580.9603647535516
0,6400,1580.9603647535516
0,6500,1580.9603647535516
0,6600,1553.6820449276224
0,6700,1553.6820449276224
0,6800,1553.6820449276224
0,6900,1553.6820449276224
0,7000,1553.6820449276224
0,7100,1553.6820449276224
0,7200,1553.6820449276224
0,7300,1553.6820449276224
0,7400,1553.6820449276224
0,7500,1553.6820449276224
0,7600,1519.191868806924
0,7700,1519.191868806924
0,7800,1501.0724877867199
0,7900,1501.0724877867199
