Seed,Evaluation,BestDistance
0,50,1332.939366047174
0,100,1332.939366047174
0,150,1332.939366047174
0,200,1332.939366047174
0,250,1332.939366047174
0,300,1332.939366047174
0,350,1332.939366047174
0,400,1332.939366047174
0,450,1332.939366047174
0,500,1289.7032923279257
0,550,1289.7032923279257
0,600,1289.7032923279257
0,650,1289.7032923279257
0,700,1289.7032923279257
0,750,1254.6561413308266
0,800,1233.3830959533993
0,850,1226.4597003987
0,900,1226.4597003987
0,950,1226.4597003987
0,1000,1215.3099317705155
0,1050,1140.2934280137995
0,1100,1140.2934280137995
0,1150,1140.2934280137995
0,1200,1140.2934280137995
0,1250,1140.2934280137995
0,1300,1140.2934280137995
0,1350,1140.2934280137995
0,1400,1140.2934280137995
0,1450,1140.2934280137995
0,1500,1140.2934280137995
0,1550,1140.2934280137995
0,1600,1140.2934280137995
0,1650,1140.2934280137995
0,1700,1140.2934280137995
0,1750,1140.2934280137995
0,1800,1140.2934280137995
0,1850,1140.2934280137995
0,1900,1140.2934280137995
0,1950,1140.2934280137995
0,2000,1140.2934280137995
0,2050,1140.2934280137995
0,2100,1140.2934280137995
0,2150,1140.2934280137995
0,2200,1140.2934280137995
0,2250,1140.2934280137995
0,2300,1140.2934280137995
0,2350,1140.2934280137995
0,2400,1140.2934280137995
0,2450,1140.2934280137995
0,2500,1140.2934280137995
0,2550,1140.2934280137995
0,2600,1140.2934280137995
0,2650,1140.2934280137995
0,2700,1140.2934280137995
0,2750,1140.2934280137995
0,2800,1140.2934280137995
0,2850,1140.2934280137995
0,2900,1140.2934280137995
0,2950,1140.2934280137995
0,3000,1140.2934280137995
0,3050,1140.2934280137995
0,3100,1140.2934280137995
0,3150,1140.2934280137995
0,3200,1140.2934280137995
0,3250,1140.2934280137995
0,3300,1140.2934280137995
0,3350,1140.2934280137995
0,3400,1140.2934280137995
0,3450,1140.2934280137995
0,3500,1140.2934280137995
0,3550,1140.2934280137995
0,3600,1140.2934280137995
0,3650,1140.2934280137995
0,3700,1140.2934280137995
0,3750,1140.2934280137995
0,3800,1140.2934280137995
0,3850,1140.2934280137995
0,3900,1140.2934280137995
0,3950,1140.2934280137995
0,4000,1140.2934280137995
0,4050,1140.2934280137995
0,4100,1140.2934280137995
0,4150,1140.2934280137995
0,4200,1140.2934280137995
0,4250,1140.2934280137995
0,4300,1140.2934280137995
0,4350,1140.2934280137995
0,4400,1140.2934280137995
0,4450,1140.2934280137995
0,4500,1140.2934280137995
0,4550,1140.2934280137995
0,4600,1140.2934280137995
0,4650,1140.2934280137995
0,4700,1140.2934280137995
0,4750,1140.2934280137995
0,4800,1140.2934280137995
0,4850,1140.2934280137995
0,4900,1140.2934280137995
0,4950,1140.2934280137995
0,5000,1140.2934280137995
0,5050,1140.2934280137995
0,5100,1140.2934280137995
0,5150,1140.2934280137995
0,5200,1140.2934280137995
0,5250,1140.2934280137995
0,5300,1140.2934280137995
0,5350,1140.2934280137995
0,5400,1140.2934280137995
0,5450,1140.2934280137995
0,5500,1140.2934280137995
0,5550,1140.2934280137995
