Variant,Runs,Mean,Std,Median,Min,Max
GA baseline mutation_rate=0.20,30,1401.9105031828092,52.82830015611285,1404.3601517290915,1310.0070197491734,1503.333575132934
GA optimized mutation_rate=0.05,30,1330.5839135769208,52.886163779396945,1328.7033476222164,1238.0905835526498,1438.311236154422
