Algorithm,MeanEvaluationsTo90,StdEvaluationsTo90,MedianEvaluationsTo90
GA,22033.333333333332,8613.315006563898,21800.0
ACO,7063.333333333333,9460.652938512674,3675.0
PSO,22783.333333333332,5929.010112956482,21900.0
