Algorithm,Mean,Std,Median,Min,Max,IQR,MeanRuntime
GA,1401.9105031828092,52.82830015611286,1404.3601517290915,1310.0070197491734,1503.333575132934,89.32339716233287,4.570709616683113
ACO,1091.4301095266708,14.386129885201472,1094.0476379023983,1059.3027785763238,1114.7331970838084,14.795136842406691,98.97014637000393
PSO,1690.4847774233194,127.26877711087799,1696.2546091343863,1450.5826697616187,1872.2471017049868,195.84184582360695,5.5177327399995795
